_source,_cellid,stem_cell_name,stem_cell_type,cell_grade,produced_by,provider_distributor,reference_publications,gender_of_donor,ethnicity_of_donor,health_status,age_of_donor,source_cell_type,organ_tissue_of_origin_of_source_cell
SKIP,SKIP000001,201B7,"iPS Cell","Research Grade","Yamanaka, Shinya.","Center for iPS Cell Research and Application, Kyoto University","18035408 -- 23300777 -- 27073925 -- 27161380",Female,Caucasian,,,,"Skin "
SKIP,SKIP000002,253G1,"iPS Cell",,"Yamanaka, Shinya.","Center for iPS Cell Research and Application, Kyoto University",,Female,Caucasian,,,,"Skin "
SKIP,SKIP000003,iPS-TIG107-3f1,"iPS Cell",,"Yamanaka, Shinya.","Center for iPS Cell Research and Application, Kyoto University","18035408 -- 7488156",Female,Asian,,,,"Skin "
SKIP,SKIP000004,iPS-TIG107-4f1,"iPS Cell",,"Yamanaka, Shinya.","Center for iPS Cell Research and Application, Kyoto University",18035408,Female,Asian,,,,Skin
SKIP,SKIP000005,iPS-TIG120-3f7,"iPS Cell",,"Yamanaka, Shinya.","Center for iPS Cell Research and Application, Kyoto University","22119741 -- 18059259 -- 18035408",Female,Asian,,,,Skin
SKIP,SKIP000006,iPS-TIG120-4f1,"iPS Cell",,"Yamanaka, Shinya.","Center for iPS Cell Research and Application, Kyoto University","22119741 -- 18035408",Female,Asian,,,,Skin
SKIP,SKIP000007,iPS-TIG114-4f1,"iPS Cell",,"Yamanaka, Shinya.","Center for iPS Cell Research and Application, Kyoto University","22119741 -- 18035408",Male,Asian,,,,Skin
SKIP,SKIP000017,A000001S8-2,"iPS Cell",,Yamada,"Kumamoto University",,,Asian,"Glycogen strage disease type1",,,Skin
SKIP,SKIP000018,A000001S3-6,"iPS Cell",,Yamada,"Kumamoto University",,,Asian,"Glycogen strage disease type1",,,Skin
SKIP,SKIP000019,"A000011# 1","iPS Cell",,Towata,"Kumamoto University",,,Unknown,"Pelizaeus-Merzbacher disease",,,Skin
SKIP,SKIP000020,"A000011# 2","iPS Cell",,Towata,"Kumamoto University",,,Unknown,"Pelizaeus-Merzbacher disease",,,Skin
SKIP,SKIP000021,"A000011# 9","iPS Cell",,Towata,"Kumamoto University",,,Unknown,"Pelizaeus-Merzbacher disease",,,Skin
SKIP,SKIP000022,"A000024# 1","iPS Cell",,Towata,"Kumamoto University",,,Unknown,MELAS,,,Skin
SKIP,SKIP000023,"A000024# 2","iPS Cell",,Towata,"Kumamoto University",,,Unknown,MELAS,,,Skin
SKIP,SKIP000024,"A000024# 3","iPS Cell",,Towata,"Kumamoto University",,,Unknown,MELAS,,,Skin
SKIP,SKIP000025,"A000041# 1","iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Prader-Willi Syndrome",,,Skin
SKIP,SKIP000026,"A000041# 3","iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Prader-Willi Syndrome",,,Skin
SKIP,SKIP000027,"A000041# 5","iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"Prader-Willi Syndrome",,,Skin
SKIP,SKIP000028,"A000049# 2","iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"Cockayne Syndrome",,,Skin
SKIP,SKIP000029,"A000049# 8","iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"Cockayne Syndrome",,,Skin
SKIP,SKIP000030,"A000049# 10","iPS Cell",,Katayama,"Kumamoto University",,,Unknown,"Cockayne Syndrome",,,Skin
SKIP,SKIP000031,A000005#1,"iPS Cell",,Hamazaki,"Kumamoto University",,,Unknown,"(amyotrophic lateral sclerosis)",,,Skin
