_source,_cellid,stem_cell_name,stem_cell_type,cell_grade,produced_by,provider_distributor,reference_publications,gender_of_donor,ethnicity_of_donor,health_status,age_of_donor,source_cell_type,organ_tissue_of_origin_of_source_cell
hPSCreg,AAKIPSi001-A,AAKIPSi001-A,,,"INSTITUT NATIONAL DE LA SANTÉ ET DE LA RECHERCHE MÉDICALE",INSERM,,female,,Aniridia,,"Peripheral Blood Mononuclear Cell",
hPSCreg,AAKIPSi002-A,AAKIPSi002-A,,,"INSTITUT NATIONAL DE LA SANTÉ ET DE LA RECHERCHE MÉDICALE","INSTITUT NATIONAL DE LA SANTÉ ET DE LA RECHERCHE MÉDICALE",,female,,Aniridia,,"Peripheral Blood Mononuclear Cell",
hPSCreg,AAKIPSi003-A,AAKIPSi003-A,,,"INSTITUT NATIONAL DE LA SANTÉ ET DE LA RECHERCHE MÉDICALE",,,female,,Aniridia,,"Peripheral Blood Mononuclear Cell",
hPSCreg,AAUe001-A,"AAUe001-A (CLS1)",,,"Aalborg University",,"doi:10.1016/s1472-6483(10)60990-x -- doi:10.1007/s11626-010-9305-3",male,,,,,
hPSCreg,AAUe002-A,"AAUe002-A (CLS2)",,,"Aalborg University",,"doi:10.1016/s1472-6483(10)60990-x -- doi:10.1007/s11626-010-9305-3",male,,,,,
hPSCreg,AAUe003-A,"AAUe003-A (CLS3)",,,"Aalborg University",,"doi:10.1016/s1472-6483(10)60990-x -- doi:10.1007/s11626-010-9305-3",female,,,,,
hPSCreg,AAUe004-A,"AAUe004-A (CLS4)",,,"Aalborg University",,"doi:10.1016/s1472-6483(10)60990-x -- doi:10.1007/s11626-010-9305-3",male,,,,,
hPSCreg,ABi001-A,ABi001-A,,,"Moscow Institute of Physics and Technology (National Research University)","Moscow Institute of Physics and Technology (National Research University)","doi:10.1016/j.scr.2023.103099 -- doi:10.1016/j.scr.2024.103512 -- doi:10.3390/jcm13164592",female,"Caucasian ","Cone dystrophy with supernormal rod response",,"Peripheral Blood Mononuclear Cell",
hPSCreg,ABi002-A,ABi002-A,,,"Moscow Institute of Physics and Technology (National Research University)","Moscow Institute of Physics and Technology (National Research University)","doi:10.1016/j.scr.2023.103099 -- doi:10.1016/j.scr.2024.103512 -- doi:10.3390/jcm13164592",male,Caucasion,"Cone dystrophy with supernormal rod response",,"Peripheral Blood Mononuclear Cell",
hPSCreg,ABi004-A,"ABi004-A (KAA)",,,"Moscow Institute of Physics and Technology (National Research University)",,"doi:10.1016/j.scr.2023.103099 -- doi:10.1016/j.scr.2023.103298 -- doi:10.1016/j.scr.2024.103512",female,,"cone dystrophy with supernormal rod response",,"Peripheral Blood Mononuclear Cell",
hPSCreg,ABCRIi001-A,"ABCRIi001-A (hiPSC_ALFAS037_C9)",,,"Algarve Biomedical Center Research Institute (ABC-Ri)",,,female,,healthy,,"peripheral blood mononuclear cell",
hPSCreg,ACTe001-A,"ACTe001-A (Ma01)",,,"Advanced Cell Technology, Inc. - Cellular Reprogramming unit",,"doi:10.1038/nature05142 -- doi:10.1182/blood-2008-05-157198",female,,,,,
hPSCreg,ACTe002-A,"ACTe002-A (Ma09)",,,"Advanced Cell Technology, Inc. - Cellular Reprogramming unit",,"doi:10.1038/nature05142 -- doi:10.1016/j.stemcr.2020.06.014 -- doi:10.1002/stem.149",female,,,,,
hPSCreg,ACTe003-A,"ACTe003-A (ACT-14)",,,"Advanced Cell Technology, Inc. - Cellular Reprogramming unit",,doi:10.1016/s0140-6736(05)66473-2,female,,,,,
hPSCreg,WIBRe001-A-19,"WIBRe001-A-19 (WIBR3_SNCA_A53T_1)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-20,"WIBRe001-A-20 (WIBR3_SNCA_A53T_2)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-21,"WIBRe001-A-21 (WIBR3_SNCA_A53T_4)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-22,"WIBRe001-A-22 (WIBR3_LRRK2_G2019S_5_Het)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
hPSCreg,WIBRe001-A-23,"WIBRe001-A-23 (WIBR3_LRRK2_G2019S_6_Het)",,,"Albert Einstein College of Medicine","WiCell Research Institute - National Stem Cell Bank",doi:10.1101/2024.02.12.579917,female,unknown,healthy,,,
